====================================================================================================
 Heim z=0 claim verification (J0032 p.27a)
====================================================================================================

Heim's claim: Tabellen IV (k=1) and V_{a,b,c} (k=2) assembled under
z(N) = 0 approximation, error < 0.1 MeV.  Named exceptions:
  ω(783) and η'(958) for k=1; N(1688) for k=2.

Loaded 145 baryon candidates, 36 meson candidates

=== k=1 mesonic resonances ===
  symbol          P  qx    N  Q₀   κ        ΔM   ΔKB      |Δf|  verdict
  Σ(1620)⁻        2  -1   32   1   0   +0.0540 +0.32    0.5459  FAIL
  Σ(1620)⁰        2  +0   35   1   0   +0.0154 +0.10    0.5168  FAIL
  Σ(1620)⁺        2  +1   32   1   0   +0.0647 +0.02    0.5450  FAIL
  Σ(1670)⁻        2  -1   34   1   0   +0.0862 +0.32    0.5504  FAIL
  Σ(1670)⁰        2  +0   27   1   0   +0.0223 +0.03    0.5027  FAIL
  Σ(1670)⁺        2  +1   35   1   0   +0.0802 +0.00    0.5506  FAIL
  Σ(1690)⁻        2  -1   35   1   0   +0.0258 +0.10    0.5504  FAIL
  Σ(1690)⁰        2  +0   38   1   0   +0.0958 +0.48    0.5220  FAIL
  Σ(1690)⁺        2  +1   36   1   0   +0.0096 +0.37    0.5523  FAIL
  Σ(1750)⁻        2  -1   43   1   0   +0.0095 +0.20    0.5654  FAIL
  Σ(1750)⁰        2  +0   41   1   0   +0.0544 +0.37    0.5265  FAIL
  Σ(1750)⁺        2  +1   38   1   0   +0.0261 +0.10    0.5564  FAIL
  Σ(1765)⁻        2  -1   45   1   0   +0.0097 +0.49    0.5700  FAIL
  Σ(1765)⁰        2  +0   49   1   0   +0.0579 +0.31    0.5386  FAIL
  Σ(1765)⁺        2  +1   46   1   0   +0.0924 +0.11    0.6244  FAIL
  Σ(1840)⁻        2  -1   50   1   0   +0.1253 +0.12    0.5793  FAIL
  Σ(1840)⁰        2  +0   45   1   0   +0.0536 +0.11    0.5326  FAIL
  Σ(1840)⁺        2  +1   51   1   0   +0.0811 +0.22    0.5836  FAIL
  Σ(1880)⁻        2  -1   42   1   0   +0.0238 +0.04    0.5644  FAIL
  Σ(1880)⁰        2  +0   57   1   0   +0.2846 +0.16    0.5503  FAIL
  Σ(1880)⁺        2  +1   43   1   0   +0.0743 +0.38    0.4966  FAIL
  Σ(1915)⁻        2  -1   53   1   0   +0.0460 +0.13    0.5871  FAIL
  Σ(1915)⁰        2  +0   59   1   0   +0.0042 +0.18    0.5530  FAIL
  Σ(1915)⁺        2  +1   54   1   0   +0.1497 +0.22    0.5896  FAIL
  Σ(1940)⁻        2  -1   54   1   0   +0.1026 +0.39    0.5865  FAIL
  Σ(1940)⁰        2  +0   60   1   0   +0.1074 +0.32    0.5546  FAIL
  Σ(1940)⁺        2  +1   55   1   0   +0.0584 +0.29    0.5915  FAIL
  Σ(2000)⁻        2  -1   63   1   0   +0.0587 +0.40    0.6029  FAIL
  Σ(2000)⁰        2  +0   70   1   0   +0.0047 +0.33    0.5692  FAIL
  Σ(2000)⁺        2  +1   64   1   0   +0.0494 +0.10    0.6091  FAIL
  Σ(2030)⁻        2  -1   66   1   0   +0.0087 +0.18    0.6668  FAIL
  Σ(2030)⁰        2  +0   72   1   0   +0.0113 +0.10    0.5712  FAIL
  Σ(2030)⁺        2  +1   59   1   0   +0.1041 +0.41    0.5420  FAIL
  Σ(2070)⁻        2  -1   68   1   0   +0.0166 +0.10    0.6114  FAIL
  Σ(2070)⁰        2  +0   75   1   0   +0.1301 +0.42    0.5753  FAIL
  Σ(2070)⁺        2  +1   69   1   0   +0.2420 +0.13    0.6829  FAIL
  Σ(2080)⁻        2  -1   69   1   0   +0.0365 +0.21    0.6133  FAIL
  Σ(2080)⁰        2  +0   76   1   0   +0.0906 +0.11    0.6458  FAIL
